,id,text,label
0,1381014933706526725,I got the same vaccine shot @MariahCarey got the Fake one,0
1,1381014934469885963,OMFGGGG TWT IS THHE DUMBEST APP https://t.co/HrferM3ImM,0
2,1381014935434625024,@BabsR10 My husband and I received the first Pfizer vaccine; get second one April 16th.  My arm was sore.  That’s it.  My husband had no side effects at all.,0
3,1381014935887622147,Another quackcine... https://t.co/ZqAKzLSZOs,0
4,1381014936256536576,"Nobody is going to boycott the Yankees or the Mets. More and more business require proof of vaccination from employees. Customers are next. This is the rollout.

I, for one, will never buy a product from a store that requires proof of vaccination. I hope you will join me in this.",0
5,1381014936101457921,“Unexpectedly” why are people overlooking the fact that this man was 99 with a heart condition. I’m so over these anti vaxxers https://t.co/4cM1Ng89Ka https://t.co/NSObvKUjDr,0
6,1381014936789323781,@Edwards4Dermot I’m fully vaccinated.... waiting for the kids to get vaccinated.... hopefully in the summer,0
7,1381014938244636673,@jscutiger The first clinical trial patients have had the vaccine for more than a year at this point. No side effects for any vaccine have *ever* been found to occur more than 6 months after inoculation.,0
8,1381014940547309568,"@SkyNewsAust SIDE EFFECTS: *every* vaccine has side effects. We need to educate people. The vaccine, like the flu jab, injects the virus into you so your immune system is going to respond. CDC in the US issued a note yesterday re fears (not AZ) in Georgia ⤵️ advising of such side effects: https://t.co/zWw0qGQSCz",0
9,1381014943470739457,@rperly1 We are both fully vaccinated so the gear seems over the top. But the SNF did have 10 COVID deaths earlier so they are very cautious. I have rapid test with each visit. Nasal swab &amp; wait 15 minutes.,0
10,1381014945001791491,@suss2hyphens agreed.  I also wonder if any teams had a dose of vaccine before travelling,1
11,1381014944951513101,Caption contest https://t.co/DIMin0tgTZ,0
12,1381014947061096448,"@FuroridaNoMaya 

When you see it....

https://t.co/LMCLgml6yl",0
13,1381014947937804290,I’m now fully vaccinated https://t.co/NdB09ygmsJ,0
14,1381014948948611072,"This is the media trying to claw back credibility now the fear mongering has done its job and people are now taking the vaccine that the new control system will be based on. NEVER TRUST MEDIA OR GOVERNMENTS AGAIN.
https://t.co/ovit1iwGqR",0
15,1381014950093725701,"Vaccine hesitancy among minority groups have been well documented throughout the pandemic.

It's why clinics like the one in Benton focused on those groups happened today, and why one translator says it's important to get out to the Black and Latinx communities.

@THV11 at 6/10. https://t.co/BV9I9YAwog",1
16,1381014951041642498,Killing Liberty: Could Vaccine Resisters Be WACOed? https://t.co/KWIp2ymtzv,0
17,1381014952438206468,"Yeah, he’s a real brain trust. https://t.co/Y28mDAcuoR",0
18,1381014952996179974,YES! I am so happy for you Kate!!!❤️❤️❤️ https://t.co/8txIb9iJJz,0
19,1381014954124451841,"sorry for tweeting so much today, i had to stay home from work because i had a bad reaction to my vaccine so apparently i've decided to redirect all of my unused energy to tweeting every single thought i have",1
20,1381014954757615617,"@CalamityJayne4 It will probably get above that, as the ICUs will be overwhelmed. 

My friends in virology believe that it’s so pervasive and contagious now that we will all contact the virus and it will persist. 

I’m happy my first contact was through vaccine. 

Others won’t be so lucky. https://t.co/g1U8kkOyIs",0
21,1381014957253402630,@mjansen22598292 @AhDebit @GregAbbott_TX I've made my point pretty clear. You're using word games as means to disinform people about the safety of the COVID—19 vaccines. It's sick. All that matters is the process by which the safety and efficacy of the vaccines have been verified prior to sanctioned use by the FDA.,0
22,1381014956188041221,Congratulations to @WTFDLANCERSOFT1 on a great 13-0 win today on their season opener! What am I to do when I have to go get my second vaccine shot &amp; miss the game? I hand the camera over to my husband &amp; I think he did pretty nicely! @lancer_sports1 @WPS_CT @GoECCAthletics https://t.co/YlWJLrUMKj,0
23,1381014960474619905,Being vaccinated does NOT mean it’s ok to call me up again just to break me like a promise,0
24,1381014960046661634,@ianaIexander Follow me for COVID vaccine appointment availability in Southern California!,0
25,1381014962454327300,"@xekhkl @jameshamblin Insurance pays for the administration of the vaccines. The Federal government paid the pharmaceutical companies for the actual vaccine. I don't know why they put $0.01 instead of $0 on the bill, but your insurance didn't actually pay any of the cost of the vaccine.",0
26,1381014962538172422,"@UConnMeg22 Yeah, I really think having the antibodies already made it less of an impact after vaccination",0
27,1381014963100151809,Vaccine 1/2 complete! So far no reaction. Looks like I'll be completely immunized by June!,0
28,1381014963632758786,@GVendacopy @polk_bruno @CBCNews I told you I am in Canada. I don’t give a shit who is in charge if there was no vaccine at the start,0
29,1381014964396232707,Everyone in the post-vaccine waiting area has nice ass sneakers on and I chose to just wear the Filas today 💀,0
30,1381014965440614412,@TradeOnTheWire1 Like cause of covid? As long as you have the vaccine should be good.,0
31,1381014967659294722,"Starting next Thursday, you will either need to get COVID tested or be vaccinated to do anything fun in California.",0
32,1381014968125038598,@VictorPopeJr 2 weeks? It wasn’t the vaccine,1
33,1381014969047736321,@Lotx Well it’s ostensibly to prove your vaccination . I’m confused why you would need it as you can still catch and pass it on even if you’ve been vaccinated,0
34,1381014968468787204,"“the health dep has repeatedly refused to tell the Guardian how much each of the companies is being paid. It has also failed to publish any information about the key rollout contracts on the AusTender website..the public’s only window into government procurement
#auspol #LNPfail https://t.co/47NsxeMXuT",0
35,1381014971488813057,Where do we send the flowers for them https://t.co/eCCSlbLRw9,0
36,1381014974512910346,"@DigressIBut @johnsmi55266544 @twentee7 @TomiLahren So you prove you haven’t read a word I said because I not only told you I was vaccinated, but I have refuted your claims each time with the CDC director herself!!! You are the snowflake triggered bot pos moron!!",0
37,1381014972914802693,"I was a huge Trump Supporter, but always was extremely uncomfortable with his 666 hand signals and his inverted triangle signs.
He kept appointing Swamp Rats to drain the Swamp.
Operation Warp Speed to VaXX American men, women and children, the Final Straw.
Trump is the Swamp. https://t.co/5io4qP68Kw https://t.co/gIpcj1i6o9",0
38,1381014974722637824,The UK's approach to vaccine safety has been far more sensible than some European countries' https://t.co/NKcGFuvHhH via @CapX,0
39,1381014976261918732,At a vaccine center ..and I'm pleased to see the turnout,0
40,1381014977067286532,One of the DNA gene therapy injections is made in Baltimore... https://t.co/aWuKdZm0UP,0
41,1381014978308759555,@SnottieDrippen It was all the racism and incest that killed him anyway. No vaccine for that.,1
42,1381014979135082499,@cnni Someone needs to remind them that General George Washington ordered all Continental Army troops vaccinated against smallpox.,0
43,1381014979327954944,@jameshamblin That is my response to people who say they “trust” their immune system. I say— so do I! I trust it to respond exactly as needed to the vaccine. It knows what to do!,1
44,1381014981223849985,@radiobeast66 Add Ontario's mass vaccination centres. Don't understand a reliance on surgical or cloth masks that have insufficient protection a yr+ into the Covid pandemic. Everyone should be wearing N95 equivalent masks in indoor public spaces. Everyone! Why aren't we following the science?,1
45,1381014981630566400,"@misst0pia @Cazzy @MsYouDoYou on the current pace of ~40,000 vaxxes a day, we are on pace to have every eligible person in british columbia vaccinated by july 1st",0
46,1381014982146420736,"#Vaccine appts available at Rite Aid in: Kingston (Ulster), Kingston (Flatbush), Hyde Park, Poughkeepsie (Hooker), Poughkeepsie (North Rd), Colonie, Clifton Park, Amsterdam, Gloversville, Syracuse, N Syracuse, Baldwinsville, Cortland, New Hartford, Utica, Newark, Massena,...",1
47,1381014982981152770,"@GlobalBC I guess the expired ones were not used due to so many appointments not being taken.
Says this is being kept quiet, is happening across the country, I will be one of them for now.
https://t.co/GklgcGW4AP",0
48,1381014983329210370,@ozhomeschool There should be no vaccine passports anywhere for any reason.,1
49,1381014984663109636,"@Emily_Burns_V When an volcano erupts, who in their right minds thinks of grabbing their vaccination card before running for their life? #stvincentvolcano",0
0,1381034096005148676,RT @news_ntd: Scientists around the world are calling for a new investigation into the origins of the #pandemic. Citing “procedural failure…,1
1,1381029911729737728,RT @news_ntd: Scientists around the world are calling for a new investigation into the origins of the #pandemic. Citing “procedural failure…,1
2,1381029578286764033,"RT @cgtnamerica: Wealthier nations have received more than 87% of the COVID-19 vaccines, the World Health Organization says. And that dispa…",0
3,1381028960167989248,"RT @CGTNOfficial: The vast majority of COVID-19 vaccines administered have so far gone to wealthy nations, the World Health Organization (W…",0
4,1381027107472572418,RT @news_ntd: Scientists around the world are calling for a new investigation into the origins of the #pandemic. Citing “procedural failure…,1
5,1381024918448435200,"RT @1504thmc: Medical Product Alert N°2/2021: Falsified COVID-19 Vaccine BNT162b2 from the World Health Organization (WHO)

We will arrest…",0
6,1381024641674846210,"RT @PDChina: Wealthier countries have received more than 87 percent of the world's COVID-19 vaccine supply, while low-income countries have…",0
7,1381024324547710980,"Medical Product Alert N°2/2021: Falsified COVID-19 Vaccine BNT162b2 from the World Health Organization (WHO)

We will arrest and file necessary charges against unscrupulous individuals or entitles that will sell, dispense fake Covid-19 vaccines.
#RMFB15Cares
#TeamPNP https://t.co/YZRDsVPcif",0
8,1381021364484644867,RT @wakoppa: https://t.co/i82LE4xvlK Nearly two million children die every year because of pollution and unhealthy environment,0
9,1381018818273669123,China Bought Off the WHO Without Money | China Unscripted https://t.co/s7irN5VUQ0 via @YouTube   China manipulated the World Health Organization from day one of the coronavirus pandemic. And the recent WHO investigation into the coronavirus origin in Wuhan https://t.co/1nGVMOYUJJ,1
10,1381018723071492100,"Since the beginning of the Covid-19 pandemic, the President of Brazil, Jair Bolsonaro, has shown himself against all the security measures imposed by WHO (World Health Organization) and has also always trivialized the pandemic and its causes in the world. https://t.co/n6XuoYKki6",1
11,1381017096327364608,RT @news_ntd: Scientists around the world are calling for a new investigation into the origins of the #pandemic. Citing “procedural failure…,1
12,1381015480144556035,"The Sumilao Municipal Police Station crafted IO and raise awareness re COVID-19 Vaccine and to prevent the proliferation of the World Health Organization (WHO) Medical Product Alert (Fake Vaccine).
#TeamPNP
#WeServeAndProtect
#PNPKakampiMo https://t.co/qEso2GX6LE",0
13,1381015331171229698,RT @AP_Europe: Prosecutors are investigating whether a World Health Organization official lied to them and had a WHO report on Italy's coro…,1
14,1381014985397047303,RT @news_ntd: Scientists around the world are calling for a new investigation into the origins of the #pandemic. Citing “procedural failure…,1
15,1381014313427668992,https://t.co/utbtRin7n0 Since WHEN DOES TWO PRIVATE AGENCIES that are not GOVERNMENT like the CDC and the WORLD HEALTH ORGANIZATION tell the WORLD WHAT TO DO and what to wear @WHO @CDCgov @CDCDirector @CDCemergency @randyhillier as there's NO SCIENCE to support FACE MASKS work,0
16,1381013942554726401,"RT @WKARnews: The concept of a vaccine passport has been around since the 19th century.

It began with a scientist from Odessa, Russia, Wal…",1
17,1381012351760015360,"Chinese vaccines Sinopharm &amp; CoronaVac (Sinovac) are in the final stage of evaluation by the Emergency Use Listing of the World Health Organization (WHO) &amp; a ""final decision"" should be made between April 26 &amp; May 3.

Digong, are we medically safe? https://t.co/aMRtVFA9p8",0
18,1381011670651170818,RT @news_ntd: Scientists around the world are calling for a new investigation into the origins of the #pandemic. Citing “procedural failure…,1
19,1381011592570015746,RT @news_ntd: Scientists around the world are calling for a new investigation into the origins of the #pandemic. Citing “procedural failure…,1
20,1381011470108999681,RT @news_ntd: Scientists around the world are calling for a new investigation into the origins of the #pandemic. Citing “procedural failure…,1
21,1381011043024044037,RT @news_ntd: Scientists around the world are calling for a new investigation into the origins of the #pandemic. Citing “procedural failure…,1
22,1381010888094838784,"RT @PDChina: Wealthier countries have received more than 87 percent of the world's COVID-19 vaccine supply, while low-income countries have…",0
23,1381010795396526083,RT @moaningmeg: Adolescence https://t.co/JPPOSNOuS2 via @britannica The World Health Organization (WHO) defines an adolescent as any person…,0
24,1381010710944178178,RT @news_ntd: Scientists around the world are calling for a new investigation into the origins of the #pandemic. Citing “procedural failure…,1
25,1381010221829529602,RT @telesurenglish: #COVID19| The COVAX mechanism has reached over 100 countries in the past six weeks and delivered 38 million COVID-19 va…,0
26,1381009792609755144,RT @news_ntd: Scientists around the world are calling for a new investigation into the origins of the #pandemic. Citing “procedural failure…,1
27,1381009701475921927,RT @news_ntd: Scientists around the world are calling for a new investigation into the origins of the #pandemic. Citing “procedural failure…,1
28,1381009681708154880,RT @news_ntd: Scientists around the world are calling for a new investigation into the origins of the #pandemic. Citing “procedural failure…,1
29,1381009462283141121,RT @moaningmeg: Adolescence https://t.co/JPPOSNOuS2 via @britannica The World Health Organization (WHO) defines an adolescent as any person…,0
30,1381009251448066051,RT @news_ntd: Scientists around the world are calling for a new investigation into the origins of the #pandemic. Citing “procedural failure…,1
31,1381009162952437764,RT @news_ntd: Scientists around the world are calling for a new investigation into the origins of the #pandemic. Citing “procedural failure…,1
32,1381009095772286979,"Scientists around the world are calling for a new investigation into the origins of the #pandemic. Citing “procedural failures,” they say the investigation done by the World Health Organization (#WHO) is not credible. 

https://t.co/Lv6w2xA0a3",1
33,1381008162610941958,Adolescence https://t.co/JPPOSNOuS2 via @britannica The World Health Organization (WHO) defines an adolescent as any person between ages 10 and 19,0
34,1381008031421505537,"RT @PDChina: Wealthier countries have received more than 87 percent of the world's COVID-19 vaccine supply, while low-income countries have…",0
35,1381007890702548993,"RT @WorldDengueDay: Our petition for a #WorldDengueDay has been signed by over 23,000 people worldwide! Let's reach a milestone 30,000 sign…",1
36,1381007790320316417,"@jamesdoleman @BlackIslePMD Nice gaslighting attempt. 

""The World Health Organization (WHO) defines an adolescent as any person between ages 10 and 19.""",0
37,1381006098682019847,"RT @capitalparanae1: ""breaks patent medicines""

Brazil in relation to the breach of vaccine patents and emphasize that the issue is under d…",1
38,1381003282877976581,@StaceyMirowski @VeraEtches The world health organization put an alert out in Jan regarding the PCR tests and how they shouldn't be used on their own to confirm covid they need a secondary test. Ontario went and raised its cycles to 35 and up. Up to 80% of this could be BS https://t.co/lLDvND1HHt,0
39,1380997407387836420,"@DFisman I found something fro WHO, maybe that is where it came from...

https://t.co/RwGZklbYw0",0
40,1380997154630631424,World Health Organization rejects vaccine passports over jab effectivity concerns https://t.co/jxjQ27BQug,0
41,1380993722096189440,"RT @cgtnamerica: Wealthier nations have received more than 87% of the COVID-19 vaccines, the World Health Organization says. And that dispa…",0
42,1380986357489799176,RT @CNN: The US and 13 other governments have criticized the World Health Organization investigation into the origins of the coronavirus pa…,0
43,1380982668737839106,"World Health Organization Director-General Tedros Adhanom Ghebreyesus said that on average, one in four people in rich countries has received at least one dose of a COVID-19 vaccine, compared to only one in 500 people in low-income countries. https://t.co/FFfY28SBMj",0
44,1380980593010352131,RT @ERACoalition: The World Health Organization released a report Tuesday that confirmed how “devastatingly pervasive” violence against wom…,0
45,1380977247138541575,"@SusanStJames3_ @PhillipsNanl WHO. 

""Gates Foundation provides 9.8% of the WHO's funds.""

https://t.co/VukDT12DZq

""Gates would become the top donor to the international agency, above any government in the world.""
https://t.co/HMQX5MQ3CB

""globally vaccinait all people""
https://t.co/uwt9afPGHl https://t.co/AoKU9F5XWb",0
46,1380973749923573761,"RT @CGTNOfficial: The vast majority of COVID-19 vaccines administered have so far gone to wealthy nations, the World Health Organization (W…",0
47,1380971561256095746,"RT @CGTNEurope: The World Health Organization has called out a ""shocking imbalance"" in the global distribution of vaccines, with rich natio…",0
48,1380971376853577728,"RT @FOX9: Wealthy countries have received the largest supply of the world’s COVID-19 vaccines, while poor countries have only received 0.2%…",0
49,1380970878943563782,"RT @PDChina: Wealthier countries have received more than 87 percent of the world's COVID-19 vaccine supply, while low-income countries have…",0
